epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2298,1.47408,2.95236,1.31107,0.00506,1,0.61786,0.39116,0.97072,2.86693,1.01447,0.00013336,0.00013336,0.00013336
2,30.7011,1.40616,2.05451,1.26061,0.30411,1,0.62176,0.39379,0.97659,2.41554,0.99046,0.000274038,0.000274038,0.000274038
3,51.2349,1.29574,1.64628,1.20014,0.49457,0.69541,0.6127,0.37456,1.15775,2.32322,1.04099,0.000404814,0.000404814,0.000404814
4,66.3939,1.2269,1.46427,1.18465,0.61271,0.43626,0.64476,0.40813,1.27306,2.18376,1.15893,0.000525688,0.000525688,0.000525688
5,86.2175,1.21779,1.35887,1.1422,0.91707,0.9779,0.995,0.65073,1.17501,1.25495,1.08082,0.000636661,0.000636661,0.000636661
6,103.534,1.19728,1.2226,1.16578,0.96796,0.9742,0.99208,0.6447,1.14921,1.1968,1.082,0.000737731,0.000737731,0.000737731
7,123.049,1.28256,1.24774,1.21434,0.98502,0.98438,0.99412,0.60986,1.22739,1.06285,1.13155,0.000828899,0.000828899,0.000828899
8,142.187,1.23626,1.1648,1.15362,1,0.98023,0.995,0.62872,1.17114,1.06201,1.06773,0.000910165,0.000910165,0.000910165
9,158.37,1.16681,1.13879,1.12088,0.97523,0.97344,0.995,0.65187,1.22947,1.4036,1.10569,0.00098153,0.00098153,0.00098153
10,176.636,1.22818,1.05394,1.17407,0.81839,0.71703,0.97707,0.6039,1.37361,2.01455,1.16055,0.00104299,0.00104299,0.00104299
11,193.203,1.22939,1.06957,1.18186,0.94217,0.94504,0.99455,0.63534,1.25268,1.49452,1.09402,0.00109455,0.00109455,0.00109455
12,210.75,1.18226,1.01976,1.14227,0.9844,0.9837,0.99227,0.64483,1.13529,1.58098,1.04998,0.00106188,0.00106188,0.00106188
13,227.666,1.23354,1.02272,1.14428,0.98352,1,0.995,0.61078,1.25634,1.43763,1.0735,0.00100687,0.00100687,0.00100687
14,244.339,1.11051,0.9722,1.12535,0.98927,1,0.995,0.62532,1.24543,1.08305,1.02531,0.000951857,0.000951857,0.000951857
15,263.074,1.13193,0.92942,1.11834,0.98985,1,0.995,0.66205,1.23302,1.08674,1.03701,0.000896846,0.000896846,0.000896846
16,281.347,1.06336,0.87423,1.08967,0.97155,0.99378,0.99455,0.67453,1.16348,1.11795,1.02756,0.000841835,0.000841835,0.000841835
17,298.979,1.16037,0.91405,1.13822,0.97307,0.99726,0.99455,0.67581,1.11048,1.04916,1.01305,0.000786824,0.000786824,0.000786824
18,319.464,1.09925,0.89469,1.10671,0.993,1,0.995,0.67341,1.17112,0.91662,1.04644,0.000731813,0.000731813,0.000731813
19,340.342,1.10564,0.85667,1.12237,0.99575,1,0.995,0.66244,1.17859,0.8419,1.04833,0.000676802,0.000676802,0.000676802
20,360.021,1.07194,0.85208,1.11429,0.98615,0.98578,0.995,0.68802,1.08144,0.81726,1.02545,0.000621791,0.000621791,0.000621791
21,377.945,0.98738,0.89618,1.06684,0.96302,0.98532,0.995,0.64555,1.20118,0.95784,1.02645,0.00056678,0.00056678,0.00056678
22,394.907,1.01006,0.8639,1.0469,0.98769,1,0.995,0.70566,1.083,0.86078,0.9705,0.000511769,0.000511769,0.000511769
23,412.579,1.00274,0.86701,1.01453,0.96206,1,0.995,0.72583,1.01221,0.86863,0.95883,0.000456758,0.000456758,0.000456758
24,428.015,1.00851,0.83297,1.05192,0.99605,1,0.995,0.67904,1.11357,0.78367,0.97534,0.000401747,0.000401747,0.000401747
25,443.653,0.9398,0.76587,0.99936,0.97104,1,0.995,0.6993,1.11062,0.72629,0.97065,0.000346736,0.000346736,0.000346736
26,460.627,0.95932,0.76854,1.02566,0.96528,0.99901,0.995,0.72345,1.06807,0.72464,0.96064,0.000291725,0.000291725,0.000291725
27,477.36,0.95139,0.7595,1.01244,0.9661,0.99852,0.995,0.72245,1.09555,0.71073,0.9782,0.000236714,0.000236714,0.000236714
28,492.253,0.94423,0.73143,1.01779,0.99467,0.99041,0.995,0.72787,1.0498,0.69553,0.96956,0.000181703,0.000181703,0.000181703
29,507.709,0.9343,0.72108,1.00619,0.99273,0.99731,0.995,0.72495,1.02403,0.68468,0.95873,0.000126692,0.000126692,0.000126692
30,523.304,0.91981,0.71854,1.00674,0.99347,0.99809,0.995,0.73623,1.00795,0.68137,0.95398,7.1681e-05,7.1681e-05,7.1681e-05
